GEOID,pop,lon,lat
13063,259424,-84.35768631,33.54188528
13065,6798,-82.70623706,30.91494689
13067,688078,-84.57667201,33.94147043
13069,42356,-82.84920092,31.54927169
13071,45498,-83.76884827,31.18839048
13073,124053,-82.26406194,33.54412366
13075,17212,-83.43046508,31.15399099
13077,127317,-84.76336594,33.35345639
13079,12630,-83.98634235,32.71450166
13081,23439,-83.76810398,31.92293203
13083,16633,-85.50452725,34.85452069
13085,22330,-84.1706358,34.44429811
13087,27842,-84.57907015,30.87834414
13089,691893,-84.2264078,33.77152855
13091,21796,-83.16839894,32.17218297
13093,14918,-83.79875139,32.15717862
13095,94565,-84.21625617,31.53339038
13097,132403,-84.76792651,33.7018215
13099,11008,-84.90364342,31.32283274
13101,4034,-82.89393518,30.7100896
13103,52250,-81.34133977,32.36730998
13105,20166,-82.84009549,34.11679329
13107,22598,-82.30170805,32.58976253
13109,11000,-81.88688463,32.15676296
13111,23682,-84.31982533,34.8641244
13113,106567,-84.49419191,33.41394279
13115,96317,-85.21427866,34.2631627
13117,175511,-84.1250201,34.22551532
13119,22084,-83.22917535,34.37543589
13121,920581,-84.46701837,33.79025226
13123,28292,-84.45556384,34.6912705
13125,3082,-82.61070232,33.22927994
13127,79626,-81.4936976,31.21324181
13129,55186,-84.8757529,34.50335903
13131,25011,-84.23442634,30.87467285
13133,15994,-83.16665524,33.57878417
13135,805321,-84.02362795,33.96172852
13137,43041,-83.53111589,34.63102123
13139,179684,-83.81968108,34.31688902
13141,9429,-83.00099803,33.27024391
13143,28780,-85.21102625,33.79423335
13145,32024,-84.90898808,32.73600418
13147,25213,-82.9642476,34.35089834
13149,11834,-85.12827037,33.29702838
13151,203922,-84.15419609,33.45300316
13153,139900,-83.66624256,32.45900712
13155,9538,-83.27637502,31.60228296
13157,60485,-83.56634804,34.13388273
13159,13900,-83.68808956,33.31643361
13161,15068,-82.63694089,31.80559578
13163,16930,-82.41815145,33.05484417
13165,8340,-81.96353209,32.79247106
13167,9980,-82.66008108,32.70146503
13169,28669,-83.56052415,33.02513316
13171,18317,-84.13946271,33.07653575
13173,10078,-83.06265338,31.03789365
13175,48434,-82.92223838,32.4636566
13177,28298,-84.14111951,31.77953296
13179,63453,-81.45625562,31.80722889
13181,7996,-82.45121274,33.7936596
13183,14464,-81.74576719,31.75258466
13185,109233,-83.2677077,30.83385687
13187,29966,-84.00265021,34.5721859
13189,21875,-82.48136759,33.48285238
13191,14333,-81.37556637,31.48380621
13193,14740,-84.04247963,32.35838927
13195,28120,-83.20903732,34.12778373
13197,8742,-84.52463787,32.35337818
13199,21992,-84.68831163,33.04065597
13201,6125,-84.73072168,31.16399145
13205,23498,-84.19430883,31.2253197
13207,26424,-83.91872093,33.01408059
13209,9123,-82.53481751,32.17336354
13211,17868,-83.49238229,33.59082496
13213,39628,-84.7480936,34.78844729
13215,189885,-84.87704106,32.5099615
13217,99958,-83.85018655,33.55504896
13219,32808,-83.43705384,33.83493899
13221,14899,-83.08070327,33.88064799
13223,142324,-84.86728848,33.92054556
13225,27695,-83.8268782,32.56877814
13227,29431,-84.46563917,34.46431972
13229,18758,-82.21274271,31.3587576
13231,17869,-84.38923465,33.09226527
13233,41475,-85.18815338,34.00178444
13235,12010,-83.47596427,32.23230118
13237,21218,-83.37284136,33.32176736
13239,2513,-85.01878416,31.86733056
13241,16276,-83.40213664,34.88168225
13243,7719,-84.75419222,31.7626228
13245,200549,-82.07354887,33.3596344
13247,85215,-84.02660845,33.65423528
13249,5010,-84.31472081,32.26168568
13251,14593,-81.61193458,32.75058663
13253,8729,-84.86887012,30.93877796
13255,64073,-84.28415956,33.26086848
13257,26175,-83.29343314,34.55394386
13259,6058,-84.8352025,32.07846229
13261,32819,-84.19704139,32.03996924
13263,6865,-84.53301035,32.69948629
13265,1717,-82.87876453,33.56609072
13267,25520,-82.05817593,32.04574843
13269,8906,-84.25046434,32.5554593
13271,16500,-82.93898752,31.92980097
13273,9315,-84.43692222,31.77688093
13275,44720,-83.9193134,30.86368154
13277,40118,-83.5265943,31.45743785
13279,27223,-82.33129321,32.12172075
13281,10471,-83.73727931,34.91665185
13283,6885,-82.56728077,32.40388147
13285,67044,-85.02833685,33.03351038
13287,8930,-83.62409297,31.71638475
13289,9023,-83.42708354,32.66720145
13291,21356,-83.99075582,34.83401001
13293,27153,-84.29934353,32.88127006
13295,68756,-85.30098295,34.73566268
13297,83768,-83.73384663,33.78155713
13299,36312,-82.42367579,31.05363251
13301,5834,-82.67676172,33.40896337
13303,21187,-82.79589917,32.96953573
13305,30099,-81.91675886,31.55143348
13307,2799,-84.55105264,32.04664878
13309,7421,-82.72459328,32.11706525
13311,27144,-83.74711503,34.64636014
13313,102599,-84.96722063,34.80561155
13315,9255,-83.43236184,31.97289605
13317,10593,-82.74322671,33.78194521
13319,9563,-83.17124905,32.80240552
13321,21679,-83.85087568,31.55151168
15001,185079,-155.5228859,19.60239682
15003,953207,-164.6297264,23.68617032
15005,90,-156.9540417,21.21188976
15007,67091,-159.7054382,22.01107987
15009,154834,-156.6170588,20.8677354
16001,392365,-116.2410861,43.45111807
16003,3976,-116.4538675,44.88964678
16005,82839,-112.2246294,42.66850694
16007,5986,-111.3296593,42.28477507
16009,9285,-116.6588259,47.21755092
16011,45607,-112.3980534,43.21651586
16013,21376,-113.9798977,43.41241065
16015,7028,-115.7302439,43.98913156
16017,40877,-116.6009737,48.29974867
16019,104234,-111.6149254,43.38773179
16021,10972,-116.4628831,48.76702042
16023,2891,-113.1711322,43.72328513
16025,1117,-114.8058539,43.46325066
16027,188923,-116.7092925,43.6251335
16029,6963,-111.5622237,42.77050142
16031,22952,-113.6003677,42.28386971
16033,982,-112.3513504,44.28398021
16035,8761,-115.656856,46.67370056
16037,4368,-114.281681,44.24132423
16039,27038,-115.4691785,43.35390026
16041,12786,-111.8132321,42.18117398
16043,13242,-111.4820167,44.22878708
16045,16719,-116.3972267,44.06169135
16047,15464,-114.8115155,42.97090229
16049,16267,-115.467451,45.84419797
16051,26140,-112.3112836,43.82014297
16053,22374,-114.2640251,42.68990377
16055,138494,-116.7000127,47.67455581
16057,37244,-116.7116798,46.8161275
16059,7936,-113.9332376,44.94331383
16061,3821,-116.4262518,46.23702314
16063,5208,-114.1383099,43.0024135
16065,37536,-111.6593394,43.78419442
16067,20069,-113.6375174,42.85439859
16069,39265,-116.7502354,46.32676053
16071,4286,-112.5396228,42.19490161
16073,11526,-116.1699789,42.58153081
16075,22623,-116.7608427,44.00673813
16077,7817,-112.8406696,42.69368666
16079,12765,-115.8910309,47.35166611
16081,10170,-111.2077006,43.75945878
16083,77230,-114.6671634,42.35597812
16085,9862,-115.5661281,44.76670212
16087,10198,-116.7847714,44.4524256
17001,67103,-91.18848885,39.98789406
17003,8238,-89.33764253,37.19159921
17005,17768,-89.43554946,38.88681659
17007,54165,-88.82336339,42.32307966
17009,6937,-90.75034227,39.96181162
17011,34978,-89.52867755,41.4041524
17013,5089,-90.66752977,39.16929526
17015,15387,-89.9343329,42.06861342
17017,13642,-90.24738123,39.97356353
17019,201081,-88.19919185,40.14008387
17021,34800,-89.27726814,39.54579331
17023,16335,-87.78772273,39.33356696
17025,13815,-88.49019239,38.75416236
17027,37762,-89.42248498,38.60645188
17029,53873,-88.22179535,39.52028689
17031,5194675,-87.64616049,41.89539735
17033,19817,-87.75955688,39.00268637
17035,11048,-88.24023045,39.27331664
17037,105160,-88.77031488,41.89352863
17039,16561,-88.90409021,40.17462859
17041,19980,-88.21735506,39.76946392
17043,916924,-88.08567192,41.85194901
17045,18576,-87.74557095,39.67853464
17047,6721,-88.05326894,38.41653279
17049,34242,-88.58985734,39.05976982
17051,22140,-89.02414353,39.00019085
17053,14081,-88.22325871,40.59717695
17055,39561,-88.92415395,37.992285
17057,37069,-90.20747272,40.47276634
17059,5589,-88.23050347,37.76274658
17061,13886,-90.39049428,39.35619922
17063,50063,-88.41849582,41.28508621
17065,8457,-88.53910568,38.08157365
17067,19104,-91.16469753,40.40377645
17069,4320,-88.26685079,37.51820244
17071,7331,-90.92511089,40.81811704
17073,50486,-90.13141657,41.35313403
17075,29718,-87.8243045,40.74722621
17077,60218,-89.38211566,37.78513966
17079,9698,-88.15381137,39.01003104
17081,38827,-88.92400804,38.30052026
17083,22985,-90.35668341,39.08566173
17085,22678,-90.21241614,42.36571211
17087,12582,-88.88088925,37.45963125
17089,515269,-88.42865765,41.93894005
17091,113449,-87.86179824,41.13770479
17093,114736,-88.42884977,41.5905607
17095,52919,-90.21326473,40.93182325
17097,703462,-87.63124145,42.32532227
17099,113924,-88.88595003,41.34399064
17101,16833,-87.72672985,38.71994802
17103,36031,-89.30038778,41.746194
17105,38950,-88.55771741,40.89155719
17107,30305,-89.36754586,40.12455699
17109,32612,-90.67791022,40.45621144
17111,308760,-88.45247766,42.32439307
17113,169572,-88.84732301,40.4908905
17115,110768,-88.96159677,39.85999519
17117,47765,-89.92443333,39.261015
17119,269282,-89.90516808,38.82985304
17121,39437,-88.91897244,38.64959097
17123,12640,-89.34477985,41.03317404
17125,14666,-89.9167838,40.23964843
17127,15429,-88.70774449,37.21902713
17129,12705,-89.80217022,40.02739691
17131,16434,-90.74140815,41.20533872
17133,32957,-90.17737671,38.27864871
17135,30104,-89.47887033,39.23104007
17137,35547,-90.20149834,39.71556286
17139,14846,-88.61929919,39.64147939
17141,53497,-89.32065298,42.04264536
17143,186494,-89.75999275,40.78807903
17145,22350,-89.36701515,38.0837603
17147,16729,-88.59109121,40.01036664
17149,16430,-90.88628672,39.62249601
17151,4470,-88.56158455,37.41276344
17153,6161,-89.12657381,37.22291248
17155,6006,-89.28583275,41.20446935
17157,33476,-89.82531103,38.05212435
17159,16233,-88.08510128,38.71236039
17161,147546,-90.56742589,41.46732978
17163,270056,-89.92840935,38.47030449
17165,24913,-88.54080108,37.75318299
17167,197465,-89.65889775,39.75817273
17169,7544,-90.61506657,40.15802761
17171,5355,-90.47469583,39.64414201
17173,22363,-88.80553602,39.39115619
17175,5994,-89.79749411,41.09336443
17177,47711,-89.66234772,42.35174796
17179,135394,-89.5134203,40.50751662
17181,17808,-89.25508785,37.47122824
17183,81625,-87.7328349,40.18342197
17185,11947,-87.84425043,38.44606554
17187,17707,-90.61502859,40.84883168
17189,14716,-89.41045184,38.35217578
17191,16760,-88.42561363,38.42956459
17193,14665,-88.1795668,38.08747828
17195,58498,-89.91409237,41.75626498
17197,677560,-87.97865924,41.4450344
17199,66357,-88.92993704,37.73024714
17201,295266,-89.16085285,42.33626436
17203,38664,-89.21113669,40.78823214
18001,34387,-84.93665472,40.74565997
18003,355329,-85.06656282,41.09087111
18005,76794,-85.89760454,39.20597303
18007,8854,-87.31090602,40.60625846
18009,12766,-85.32481991,40.47360056
18011,56640,-86.46869287,40.05079937
18013,15242,-86.2273748,39.19621118
18015,20155,-86.56348414,40.58285856
18017,38966,-86.34594657,40.7614915
18019,110232,-85.70728248,38.47718151
18021,26890,-87.11575844,39.39272784
18023,33224,-86.47516099,40.30168973
18025,10713,-86.45170839,38.29241457
18027,31648,-87.07206846,38.70240994
18029,50047,-84.9732607,39.14518563
18031,25740,-85.50114307,39.30699992
18033,42223,-84.99908868,41.39757992
18035,117671,-85.39689932,40.22752535
18037,41889,-86.87980205,38.36427642
18039,197559,-85.85875527,41.59738449
18041,24277,-85.17872497,39.64005586
18043,74578,-85.90687204,38.31890595
18045,17240,-87.2419917,40.12087076
18047,23087,-85.06028487,39.41486453
18049,20836,-86.26358363,41.04696327
18051,33503,-87.58459472,38.31182532
18053,70061,-85.65472672,40.5158439
18055,33165,-86.96204664,39.03632904
18057,274569,-86.05201429,40.07248948
18059,70002,-85.77323766,39.82355
18061,39364,-86.11131095,38.19512288
18063,145448,-86.50997611,39.76951749
18065,49462,-85.39643538,39.93103975
18067,82752,-86.11693077,40.48358563
18069,37124,-85.48817237,40.82923899
18071,42376,-86.03753808,38.90641986
18073,33478,-87.11612008,41.02299715
